Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00-05:00,0.9029695121248751,0.9101363742281301,0.8432494520977941,0.8946083188056946,30091200,0.0,0.0
2000-01-04 00:00:00-05:00,0.8790810017421608,0.8814705386108161,0.8265278119755123,0.8707206845283508,30048000,0.0,0.0
2000-01-05 00:00:00-05:00,0.8456379560883333,0.8599708028016948,0.8301107783828197,0.8420549631118774,18835200,0.0,0.0
2000-01-06 00:00:00-05:00,0.8420549607371443,0.8420549607371443,0.7548635497107169,0.7871122360229492,12048000,0.0,0.0
2000-01-07 00:00:00-05:00,0.7835292012975376,0.8086110255327678,0.771585017238743,0.8002507090568542,7118400,0.0,0.0
2000-01-10 00:00:00-05:00,0.8026394630778008,0.8599708532976437,0.78830661552284,0.8265278339385986,23985600,0.0,0.0
2000-01-11 00:00:00-05:00,0.8217496000692323,0.8313051229702586,0.793083906173706,0.793083906173706,14812800,0.0,0.0
2000-01-12 00:00:00-05:00,0.793083907148167,0.7942782381613187,0.762029551191116,0.7727794051170349,12355200,0.0,0.0
2000-01-13 00:00:00-05:00,0.7715850062914595,0.8121948815921907,0.7620294842185001,0.8050280213356018,13219200,0.0,0.0
2000-01-14 00:00:00-05:00,0.8169720943675167,0.8731091386647283,0.8145834328752709,0.8396661281585693,60456000,0.0,0.0
2000-01-18 00:00:00-05:00,0.8504152379928517,0.8790809300016837,0.812194898519406,0.8754979372024536,26164800,0.0,0.0
2000-01-19 00:00:00-05:00,0.8790811013854671,0.8790811013854671,0.8599709279230654,0.8671377897262573,16468800,0.0,0.0
2000-01-20 00:00:00-05:00,0.8743035827179866,0.9220794431765882,0.8575820752978497,0.8647480607032776,17956800,0.0,0.0
2000-01-21 00:00:00-05:00,0.862359421741001,0.8659424145386103,0.8336937297451368,0.8551934361457825,54427200,0.0,0.0
2000-01-24 00:00:00-05:00,0.882664898151042,0.882664898151042,0.8121949910349493,0.8169723153114319,25694400,0.0,0.0
2000-01-25 00:00:00-05:00,0.8205553267542746,0.8289165192315276,0.783529313173503,0.8098063468933105,23712000,0.0,0.0
2000-01-26 00:00:00-05:00,0.8098062506504735,0.8313050826249497,0.7620295132716188,0.7763623595237732,23246400,0.0,0.0
2000-01-27 00:00:00-05:00,0.7823348685418083,0.7823348685418083,0.7070867715897233,0.7357524633407593,45820800,0.0,0.0
2000-01-28 00:00:00-05:00,0.7261979091855131,0.730975233488131,0.6855880281904614,0.7142537236213684,19444800,0.0,0.0
2000-01-31 00:00:00-05:00,0.7178365011282717,0.7333636752532434,0.6688663173198741,0.7082809805870056,18240000,0.0,0.0
2000-02-01 00:00:00-05:00,0.709476245873709,0.7309750753933372,0.6831992182772887,0.7250034213066101,9297600,0.0,0.0
2000-02-02 00:00:00-05:00,0.7285865325949579,0.7596408885258894,0.7250035395585165,0.7453080415725708,14904000,0.0,0.0
2000-02-03 00:00:00-05:00,0.7691962194734651,0.784723393564039,0.7524747146687958,0.757252037525177,10824000,0.0,0.0
2000-02-04 00:00:00-05:00,0.7811405910843632,0.7811405910843632,0.7596408833958027,0.7751680612564087,12369600,0.0,0.0
2000-02-07 00:00:00-05:00,0.7787510542523415,0.7787510542523415,0.726197865651217,0.7273921966552734,21748800,0.0,0.0
2000-02-08 00:00:00-05:00,0.7453079618247985,0.7883064980839215,0.7261977928676748,0.7620294690132141,46881600,0.0,0.0
2000-02-09 00:00:00-05:00,0.7906954549312918,0.8038339743697933,0.7799455981529203,0.7811408042907715,58905600,0.0,0.0
2000-02-10 00:00:00-05:00,0.8289164837481129,0.9555234477372231,0.8289164837481129,0.9411906003952026,97008000,0.0,0.0
2000-02-11 00:00:00-05:00,0.9877724266454905,0.9889667580419897,0.8862481342882097,0.9555237293243408,42379200,0.0,0.0
2000-02-14 00:00:00-05:00,0.9579118814976552,1.1084063053131104,0.9483563606114441,1.1084063053131104,65011200,0.0,0.0
2000-02-15 00:00:00-05:00,1.1107960687950185,1.1119903997991112,1.0200207888311323,1.0654079914093018,45048000,0.0,0.0
2000-02-16 00:00:00-05:00,1.0773523937419467,1.1514053049824338,1.0654082064823087,1.1143792867660522,101956800,0.0,0.0
2000-02-17 00:00:00-05:00,1.1131849964296368,1.1609608724161953,1.0964634835747291,1.1537948846817017,53577600,0.0,0.0
2000-02-18 00:00:00-05:00,1.1370721737727896,1.3042890044010702,1.12871185712588,1.2875674962997437,96086400,0.0,0.0
2000-02-22 00:00:00-05:00,1.2469574105840575,1.263678915882617,1.2039588791846074,1.251734733581543,54249600,0.0,0.0
2000-02-23 00:00:00-05:00,1.237402010084966,1.2720402296064293,1.2218748340261882,1.2589017152786255,51139200,0.0,0.0
2000-02-24 00:00:00-05:00,1.2660679513730388,1.2744291438958635,1.1944037112046098,1.246957778930664,24432000,0.0,0.0
2000-02-25 00:00:00-05:00,1.2481516132120096,1.2481516132120096,1.1179617016281418,1.1693214178085327,27873600,0.0,0.0
2000-02-28 00:00:00-05:00,1.1633494559109636,1.1752936427975877,1.1418506193611977,1.1609607934951782,51787200,0.0,0.0
2000-02-29 00:00:00-05:00,1.153794162701571,1.2374016746591845,1.153794162701571,1.2230688333511353,30604800,0.0,0.0
